AMIE,NOMBRE,PROVINCIA,CANTON,LAT,LON,MD,M,JE
10H00285,MANUELA CAÑIZARES,IMBABURA,COTACACHI,0.295734789966,-78.2675620269,8754.780000000002,4584,5748.0
10H00287,6 DE JULIO,IMBABURA,COTACACHI,0.300411026144,-78.2631533789,11673.040000000003,6112,5748.0
10H00291,MODESTO AURELIO PEÑAHERRERA,IMBABURA,COTACACHI,0.297200933078,-78.2671487446,11673.040000000003,6112,0.0
10H00325,SANTA ANA DE COTACACHI,IMBABURA,COTACACHI,0.326221230127,-79.2086580345,11673.040000000003,6112,5748.0
10H00336,ISLA SANTA ISABEL,IMBABURA,COTACACHI,0.236939700286,-78.7477859881,5836.520000000001,3056,5748.0
10H00344,RAFAEL LEON CARVAJAL,IMBABURA,COTACACHI,0.22266664532,-78.8998415523,5836.520000000001,3056,5748.0
10H00369,UNIDAD EDUCATIVA CUELLAJE,IMBABURA,COTACACHI,0.430027816549,-78.5275327115,5836.520000000001,3056,5748.0
10H00381,ANDRES AVELINO DE LA TORRE,IMBABURA,COTACACHI,0.282029014358,-78.2830320326,5836.520000000001,3056,0.0
10H00410,UNIDAD EDUCATIVA  JACINTO COLLAHUAZO,IMBABURA,OTAVALO,0.227919781966,-78.2606378793,11673.040000000003,6112,0.0
10H00433,UNIDAD EDUCATIVA DE MILENIO JATUN KURAKA OTAVALO,IMBABURA,OTAVALO,0.234346881497,-78.2700978986,8754.780000000002,4584,0.0
10H00443,UNIDAD EDUCATIVA ISAAC JESUS BARRERA,IMBABURA,OTAVALO,0.221857594385,-78.2647257375,8754.780000000002,4584,0.0
10H00456,UNIDAD EDUCATIVA ULPIANO NAVARRO,IMBABURA,OTAVALO,0.232260300526,-78.28762928,5836.520000000001,3056,5748.0
10H00462,UNIDAD EDUCATIVA ALFREDO PEREZ GUERRERO,IMBABURA,OTAVALO,0.195122817654,-78.1939414383,17509.560000000005,9168,0.0
10H00469,UNIDAD EDUCATIVA JUAN MONTALVO,IMBABURA,OTAVALO,0.177973370965,-78.2045627456,8754.780000000002,4584,5748.0
10H00621,UNIDAD EDUCATIVA DEL MILENIO SUMAK YACHANA WASI,IMBABURA,COTACACHI,0.347836207075,-78.2494244847,5836.520000000001,3056,0.0
11H00001,UNIDAD EDUCATIVA MIGUEL RIOFRIO,LOJA,LOJA,-4.00101730714,-79.2003008976,17509.560000000005,9168,0.0
11H00020,ESCUELA DE EDUCACION BASICA 18 DE NOVIEMBRE,LOJA,LOJA,-4.0008751376,-79.1985254153,20427.820000000003,10696,5748.0
11H00036,CENTRO DE EDUCACION INICIAL JOSE MIGUEL GARCIA MORENO,LOJA,LOJA,-3.99109512952,-79.2027652334,23346.080000000005,12224,0.0
11H00049,ESCUELA DE EDUCACION BASICA CIUDAD DE LOJA,LOJA,LOJA,-3.99040409872,-79.2031740781,14591.300000000003,7640,0.0
11H00078,ESCUELA DE EDUCACION BASICA ALONSO DE MERCADILLO,LOJA,LOJA,-4.00791630997,-79.2052672248,14591.300000000003,7640,0.0
11H00105,UNIDAD EDUCATIVA DEL MILENIO BERNARDO VALDIVIESO,LOJA,LOJA,-4.01096355937,-79.1990906881,23346.080000000005,12224,5748.0
11H00147,UNIDAD EDUCATIVA DR MANUEL AGUSTIN CABRERA LOZANO,LOJA,LOJA,-4.01401694648,-79.2058695337,8754.780000000002,4584,5748.0
11H00154,ESCUELA DE EDUCACION BASICA VICENTE BASTIDAS REINOSO,LOJA,LOJA,-3.97986131615,-79.2134077881,8754.780000000002,4584,0.0
11H00223,ESCUELA DE EDUCACION BASICA JOSE INGENIEROS,LOJA,LOJA,-3.96953945766,-79.2073560241,8754.780000000002,4584,0.0
