ZONA;DISTRITO;PROVINCIA;CANTON;PARROQUIA;TIPO_EDUCACION;AMIE;LONGITUD;LATITUD;INSTITUCION;SOSTENIMIENTO;JURISDICCIÓN;RÉGIMEN;ZONA INEC;NIVEL DE EDUCACIÓN;Nro, de niños y niños de 3 y 4 años (AMIE 23-24);AUX_AÑO DE DOTACIÓN;AUX_T. IE;MD_AÑO DE DOTACIÓN;MD_PARALELOS;MD_MONTO USD$;M_AÑO DE DOTACIÓN;M_TIPO DE AMBIENTE;M_MONTO USD$;JE_AÑO DE DOTACIÓN;JE_CANTIDAD;JE_MONTO USD$;Aux_IE_Material
3;501;COTOPAXI;LATACUNGA;IGNACIO FLORES (PARQUE FLORES);Ordinario;500855;-7860480296;-0.933356412;UNIDAD EDUCATIVA LUIS FERNANDO RUIZ;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB/Bachillerato;102;2027;1;2027;4;11673.04;2027;4;6112.00;;;-;ML_Mo
3;501;COTOPAXI;LATACUNGA;TOACASO;Ordinario;500857;-7872288114;-0.748377038;UNIDAD EDUCATIVA CORONEL HECTOR ESPINOSA;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;16;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;504;COTOPAXI;PUJILI;PUJILI;Ordinario;500900;-7870043916;-0.957985961;UNIDAD EDUCATIVA BELISARIO QUEVEDO;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB/Bachillerato;164;2027;1;2027;7;20427.82;2027;7;10696.00;2027;1;5748.00;ML_Mo_JE
3;601;CHIMBORAZO;RIOBAMBA;LIZARZABURU;Ordinario;600013;-786734201;-1646082221;ESCUELA DE EDUCACION BASICA GRAL JUAN LAVALLE;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB;150;2027;1;2027;6;17509.56;2027;6;9168.00;;;-;ML_Mo
3;601;CHIMBORAZO;RIOBAMBA;LIZARZABURU;Ordinario;600021;-7866924092;-1661659997;ESCUELA DE EDUCACION BASICA SAN FELIPE NERI;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB;92;2027;1;2027;4;11673.04;2027;4;6112.00;2027;1;5748.00;ML_Mo_JE
3;601;CHIMBORAZO;RIOBAMBA;LIZARZABURU;Ordinario;600024;-7867031332;-1656585801;UNIDAD EDUCATIVA CAMILO GALLEGOS TOLEDO;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB/Bachillerato;72;2027;1;2027;3;8754.78;2027;3;4584.00;2027;1;5748.00;ML_Mo_JE
3;601;CHIMBORAZO;RIOBAMBA;LIZARZABURU;Ordinario;600044;-786493348;-1679534397;UNIDAD EDUCATIVA ONCE DE NOVIEMBRE;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB/Bachillerato;105;2027;1;2027;4;11673.04;2027;4;6112.00;2027;1;5748.00;ML_Mo_JE
3;601;CHIMBORAZO;RIOBAMBA;MALDONADO;Ordinario;600110;-7863942653;-1679293151;UNIDAD EDUCATIVA  LICEO POLICIAL CHIMBORAZO;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB/Bachillerato;35;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;601;CHIMBORAZO;RIOBAMBA;VELASCO;Ordinario;600166;-7864683788;-1666284246;UNIDAD EDUCATIVA  MIGUEL ANGEL LEON PONTON;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB/Bachillerato;206;2027;1;2027;8;23346.08;2027;8;12224.00;;;-;ML_Mo
3;601;CHIMBORAZO;RIOBAMBA;SAN LUIS;Ordinario;600215;-7864148645;-1707053725;UNIDAD EDUCATIVA MILTON REYES;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;31;2027;1;2027;2;5836.52;2027;2;3056.00;2027;1;5748.00;ML_Mo_JE
3;601;CHIMBORAZO;RIOBAMBA;VELOZ;Ordinario;600232;-7864845421;-1679915189;UNIDAD EDUCATIVA  ISABEL DE GODIN;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB/Bachillerato;180;2027;1;2027;6;17509.56;2027;6;9168.00;;;-;ML_Mo
3;601;CHIMBORAZO;RIOBAMBA;LICAN;Ordinario;600282;-7870750362;-1653414314;UNIDAD EDUCATIVA SIMON RODRIGUEZ;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;100;2027;1;2027;4;11673.04;2027;4;6112.00;;;-;ML_Mo
3;601;CHIMBORAZO;RIOBAMBA;CALPI;Ordinario;600317;-7874161767;-1647612092;UNIDAD EDUCATIVA VICTOR PROAÃ‘O CARRION;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;48;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;601;CHIMBORAZO;RIOBAMBA;CUBIJIES;Ordinario;600337;-7860444199;-1649262469;ESCUELA DE EDUCACION BASICA ANDOAS;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;18;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;601;CHIMBORAZO;RIOBAMBA;LICTO;Ordinario;600363;-7860475113;-1769413075;ESCUELA DE EDUCACION  BASICA   CACIQUE PINTAG;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;20;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;601;CHIMBORAZO;RIOBAMBA;PUNGALA;Ordinario;600410;-7859394928;-181681986;ESCUELA DE EDUCACION BASICA  AMBROSIO NORIEGA;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;28;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;601;CHIMBORAZO;RIOBAMBA;QUIMIAG;Ordinario;600471;-7856943059;-1657558873;ESCUELA DE EDUCACION BASICA  BERNARDO CASTILLO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;28;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;601;CHIMBORAZO;RIOBAMBA;SAN LUIS;Ordinario;600509;-7864626457;-1709324183;ESCUELA DE EDUCACION BASICA SAN LUIS REY DE FRANCIA;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;32;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;601;CHIMBORAZO;RIOBAMBA;SAN LUIS;Ordinario;600512;-7864407796;-1696708285;ESCUELA DE EDUCACION BASICA NIDIA JARAMILLO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;46;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
